Time,x,y,z
1.786628540977334e+18,-264673188.10496497,31256179668.557194,-477004030.0008422
1.7866285409823342e+18,-265599964.39961118,31380085001.40295,-478738219.1389561
1.7866285409873341e+18,-266526755.4663805,31504235480.519634,-480474712.11696965
1.786628540992334e+18,-267453368.60661542,31628631117.633183,-482213528.3018782
1.786628540997334e+18,-268379649.6741718,31753278294.0227,-483954775.1093345
1.7866285410023342e+18,-269305294.58954334,31878164233.89609,-485698276.59736997
1.7866285410073341e+18,-270230135.31089395,32003295318.431133,-487444111.02029824
1.786628541012334e+18,-271153943.5747858,32128671558.89473,-489192261.60181725
1.786628541017334e+18,-272076519.1287571,32254299386.171387,-490942800.6972127
1.7866285410223342e+18,-272997498.86451185,32380165923.088783,-492695533.18677723
1.7866285410273341e+18,-273916641.303958,32506277599.63737,-494450538.32727414
1.786628541032334e+18,-274833644.4180708,32632634425.3314,-496207815.29413503
1.786628541037334e+18,-275748248.8241412,32759242879.342297,-497967461.6545888
1.7866285410423342e+18,-276660055.5581821,32886089982.13684,-499729310.3915526
1.7866285410473341e+18,-277568806.4896782,33013182212.046043,-501493468.22377956
1.786628541052334e+18,-278474191.6073378,33140519576.795387,-503259954.1999725
1.786628541057334e+18,-279375943.16823936,33268108603.971592,-505028880.83114815
1.7866285410623342e+18,-280273659.1378193,33395936211.966526,-506800085.4683433
1.7866285410673341e+18,-281167081.1722227,33524008927.89604,-508573663.2080899
1.786628541072334e+18,-282055909.8869479,33652326758.39987,-510349605.2018411
1.786628541077334e+18,-282939903.1193371,33780896280.57275,-512127989.7638102
1.7866285410823342e+18,-283818700.0713997,33909704312.009396,-513908623.87880963
1.7866285410873341e+18,-284692095.85981894,34038757429.94759,-515691586.92968494
1.786628541092334e+18,-285559864.6582887,34168055641.443268,-517476863.4876978
1.786628541097334e+18,-286421851.1206472,34297605574.6863,-519264531.37280834
1.7866285411023342e+18,-287277789.9293318,34427393948.08611,-521054401.51231825
1.7866285411073341e+18,-288127565.00437987,34557427390.380936,-522846562.7555601
1.786628541112334e+18,-288971028.461005,34687705909.85371,-524641007.443914
1.786628541117334e+18,-289808088.17243564,34818236186.036285,-526437813.3596273
1.7866285411223342e+18,-290638544.59949946,34949004838.35623,-528236775.185826
1.7866285411273341e+18,-291462346.2571701,35080018547.45403,-530037953.5078268
1.786628541132334e+18,-292279409.4344111,35211277323.36443,-531841309.92635304
1.786628541137334e+18,-293089707.33318484,35342787897.62059,-533646898.6716706
1.7866285411423342e+18,-293893115.71295166,35474536791.23273,-535454499.7784847
1.7866285411473341e+18,-294689661.63709426,35606530737.17045,-537264171.3390667
1.786628541152334e+18,-295479340.1197763,35738769747.54254,-539075881.1418793
1.786628541157334e+18,-296262168.0163396,35871260605.125725,-540889702.6912133
1.7866285411623342e+18,-297038009.1361373,36003989729.78428,-542705452.9557309
1.7866285411673341e+18,-297806830.4142112,36136963902.51277,-544523247.2245123
1.786628541172334e+18,-298568570.06504184,36270183133.25613,-546343116.7484916
1.786628541177334e+18,-299323229.4833398,36403654254.1978,-548165178.6646622
1.7866285411823342e+18,-300070706.4724153,36537363585.64981,-549989253.9093709
1.7866285411873341e+18,-300811012.02283144,36671317960.24266,-551815437.5711108
1.786628541192334e+18,-301544127.20440376,36805517389.3754,-553643731.4846447
1.786628541197334e+18,-302270107.36395556,36939968757.27783,-555474223.2520541
1.7866285412023342e+18,-302988939.89026254,37074658286.5767,-557306715.0050457
1.7866285412073341e+18,-303700745.4345823,37209592863.42107,-559141289.6348524
1.786628541212334e+18,-304405614.23888713,37344772502.51829,-560977927.8784579
1.786628541217334e+18,-305103675.02978814,37480204140.45566,-562816707.1840042
1.7866285412223342e+18,-305794958.7668885,37615873900.329994,-564657450.013013
1.7866285412273341e+18,-306479638.48800147,37751788719.44981,-566500279.0519481
1.786628541232334e+18,-307157899.58300406,37887948614.57941,-568345207.7182012
1.786628541237334e+18,-307830002.86798084,38024360575.5842,-570192326.9065762
1.7866285412423342e+18,-308496142.1423936,38161010628.921974,-572041448.3480129
1.7866285412473341e+18,-309156643.23572654,38297905765.38795,-573892678.90147
1.786628541252334e+18,-309811806.14642334,38435046003.52383,-575746036.3571473
1.786628541257334e+18,-310461958.3185402,38572438383.58723,-577601637.3696047
1.7866285412623342e+18,-311107333.9986309,38710068830.88667,-579459322.0816911
1.7866285412673341e+18,-311748292.7313535,38847944385.35792,-581319225.5015383
1.786628541272334e+18,-312385183.5597145,38986065064.584206,-583181392.8291354
1.786628541277334e+18,-313018398.9950154,39124437958.25463,-585045966.9200124
1.7866285412823342e+18,-313648244.9041677,39263048890.4057,-586912806.8415611
