Time,x,y,z
1787287648171931648.000000,1.717825,0.612635,-2.231282
1787287648176931840.000000,1.722826,-0.761058,-2.369497
1787287648181931776.000000,1.727826,-0.265585,-2.646128
1787287648186931712.000000,1.732825,2.125582,-2.920713
1787287648191931648.000000,1.737825,-1.331004,-3.233509
1787287648196931840.000000,1.742826,0.462841,-3.407851
1787287648201931776.000000,1.747826,-0.160362,-3.626836
1787287648206931712.000000,1.752825,-0.604335,-3.968479
1787287648211931648.000000,1.757825,-0.507663,-4.279027
1787287648216931840.000000,1.762826,0.198398,-4.316735
1787287648221931776.000000,1.767826,0.740460,-4.198769
1787287648226931712.000000,1.772825,0.164339,-3.868081
1787287648231931648.000000,1.777825,1.152626,-3.633538
1787287648236931840.000000,1.782826,-1.012690,-3.537308
1787287648241931776.000000,1.787826,-0.242685,-3.541781
1787287648246931712.000000,1.792825,1.347251,-3.469923
1787287648251931648.000000,1.797825,-0.398335,-3.526044
1787287648256931840.000000,1.802826,-0.607307,-3.612270
1787287648261931776.000000,1.807826,-0.451212,-3.622748
1787287648266931712.000000,1.812825,0.650368,-3.594702
1787287648271931648.000000,1.817825,-0.042721,-3.835600
1787287648276931840.000000,1.822826,1.963213,-4.041968
1787287648281931776.000000,1.827826,-2.035291,-3.991540
1787287648286931712.000000,1.832825,-0.457556,-3.898827
1787287648291931648.000000,1.837825,-0.723964,-3.759002
1787287648296931840.000000,1.842826,0.676040,-3.583504
1787287648301931776.000000,1.847826,0.247133,-3.425769
1787287648306931712.000000,1.852825,0.614632,-3.152252
1787287648311931648.000000,1.857825,0.423992,-2.996848
1787287648316931840.000000,1.862826,-0.501094,-2.872245
1787287648321931776.000000,1.867826,-0.782947,-2.678875
1787287648326931712.000000,1.872825,0.980336,-2.720415
1787287648331931648.000000,1.877825,0.145227,-2.976002
1787287648336931840.000000,1.882826,-0.141469,-3.181704
1787287648341931776.000000,1.887826,-0.342332,-3.573787
1787287648346931712.000000,1.892825,1.225985,-3.757411
1787287648351931648.000000,1.897825,-0.443411,-3.832282
1787287648356931840.000000,1.902826,-0.762623,-3.943479
1787287648361931776.000000,1.907826,1.203240,-4.021359
1787287648366931712.000000,1.912825,-0.275444,-3.908698
1787287648371931648.000000,1.917825,-0.058643,-3.774470
1787287648376931840.000000,1.922826,0.102538,-3.747626
1787287648381931776.000000,1.927826,0.390071,-3.465898
1787287648386931712.000000,1.932825,-0.865898,-3.178756
1787287648391931648.000000,1.937825,-0.391570,-3.027140
1787287648396931840.000000,1.942826,1.305163,-2.916738
1787287648401931776.000000,1.947826,-0.399825,-2.792406
1787287648406931712.000000,1.952825,-1.355088,-2.725530
1787287648411931648.000000,1.957825,0.412006,-2.787080
1787287648416931840.000000,1.962826,-0.037971,-2.959657
