Time,x
1.624999512,-0.173981369
1.629999512,-0.174118862
1.634999512,-0.173364699
1.639999512,-0.172801271
1.644999512,-0.169138834
1.649999512,-0.16822426
1.654999512,-0.164824039
1.659999512,-0.162792608
1.664999512,-0.158746541
1.669999512,-0.156562284
1.674999512,-0.154976264
1.679999512,-0.153869152
1.684999512,-0.151756912
1.689999512,-0.149431854
1.694999512,-0.146732166
1.699999512,-0.144722283
1.704999512,-0.13990581
1.709999512,-0.136721954
1.714999512,-0.130539656
1.719999512,-0.125794053
1.724999512,-0.119872592
1.729999512,-0.115617909
1.734999512,-0.110360906
1.739999512,-0.105588578
1.744999512,-0.101470776
1.749999512,-0.098883167
1.754999512,-0.096657
1.759999512,-0.094125964
1.764999512,-0.089544356
1.769999512,-0.08689297
1.774999512,-0.084561914
1.779999512,-0.082306892
1.784999512,-0.078709759
1.789999512,-0.076834969
1.794999512,-0.07281445
1.799999512,-0.069754459
1.804999512,-0.06398946
1.809999512,-0.059634838
1.814999512,-0.05503368
1.819999512,-0.04894514
1.824999512,-0.044926304
1.829999512,-0.039444242
1.834999512,-0.035532556
1.839999512,-0.031070592
1.844999512,-0.027100446
1.849999512,-0.023279391
1.854999512,-0.019717699
1.859999512,-0.015115534
1.864999512,-0.012373462
1.869999512,-0.012511116
1.874999512,-0.012798801
1.879999512,-0.011982149
1.884999512,-0.011197469
1.889999512,-0.009173388
1.894999512,-0.006406144
1.899999512,-0.003168435
1.904999512,0.000622016
1.909999512,0.00398002
1.914999512,0.007790171
1.919999512,0.012201464
1.924999512,0.016695397
1.929999512,0.021154905
1.934999512,0.025655318
1.939999512,0.030368293
1.944999512,0.036431406
1.949999512,0.041452266
1.954999512,0.046950374
1.959999512,0.053053532
1.964999512,0.060449827
1.969999512,0.06770581
1.974999512,0.074156068
1.979999512,0.082578145
1.984999512,0.088891245
1.989999512,0.095124803
1.994999512,0.101016395
1.999999512,0.107558116
2.004999512,0.113089502
2.009999512,0.116864651
2.014999512,0.120431751
2.019999512,0.124827772
2.024999512,0.128258586
2.029999512,0.130181044
2.034999512,0.133992374
2.039999512,0.135861233
2.044999512,0.139077947
2.049999512,0.142150864
2.054999512,0.144803718
2.059999512,0.147145376
2.064999512,0.149402753
2.069999512,0.152708903
2.074999512,0.153612703
2.079999512,0.15075776
2.084999512,0.14907454
2.089999512,0.148487896
2.094999512,0.147151545
2.099999512,0.146311522
2.104999512,0.149447739
2.109999512,0.148382753
2.114999512,0.147944257
2.119999512,0.148277938
2.124999512,0.147358567
2.129999512,0.151449978
2.134999512,0.150994807
2.139999512,0.152651608
2.144999512,0.151104391
2.149999512,0.150303975
2.154999512,0.148630023
2.159999512,0.146041423
2.164999512,0.145415202
2.169999512,0.144165918
2.174999512,0.141847104
2.179999512,0.14056477
2.184999512,0.140125617
2.189999512,0.139779851
2.194999512,0.136903018
2.199999512,0.134740934
2.204999512,0.131344587
2.209999512,0.128018007
2.214999512,0.124467283
2.219999512,0.120060287
2.224999512,0.116329588
2.229999512,0.111668497
2.234999512,0.10611514
2.239999512,0.10090743
2.244999512,0.095289268
2.249999512,0.090099074
2.254999512,0.084180392
2.259999512,0.082276642
2.264999512,0.0781454
2.269999512,0.074851558
2.274999512,0.07175608
2.279999512,0.066873245
2.284999512,0.063528962
2.289999512,0.059819251
2.294999512,0.055058282
2.299999512,0.050431076
2.304999512,0.044740334
2.309999512,0.041033681
2.314999512,0.034725513
2.319999512,0.029964292
2.324999512,0.024535416
2.329999512,0.019111145
2.334999512,0.013228492
2.339999512,0.008179545
2.344999512,-0.001799135
