time,x,x
1.78869E+18,-0.104831032,0.015105768
1.78869E+18,-0.104783647,0.015153153
1.78869E+18,-0.104893886,0.015042914
1.78869E+18,-0.104871519,0.015065281
1.78869E+18,-0.104850411,0.015086389
1.78869E+18,-0.104734965,0.015201835
1.78869E+18,-0.104723968,0.015212832
1.78869E+18,-0.104718678,0.015218122
1.78869E+18,-0.104723684,0.015213116
1.78869E+18,-0.104763359,0.015173441
1.78869E+18,-0.104739621,0.015197179
1.78869E+18,-0.104794495,0.015142305
1.78869E+18,-0.104763232,0.015173568
1.78869E+18,-0.104869485,0.015067315
1.78869E+18,-0.105111763,0.014825037
1.78869E+18,-0.105118699,0.014818101
1.78869E+18,-0.105213873,0.014722927
1.78869E+18,-0.105216853,0.014719947
1.78869E+18,-0.105241701,0.014695099
1.78869E+18,-0.105266601,0.014670199
1.78869E+18,-0.105338573,0.014598227
1.78869E+18,-0.105403602,0.014533198
1.78869E+18,-0.105361156,0.014575644
1.78869E+18,-0.105325341,0.014611459
1.78869E+18,-0.10540203,0.01453477
1.78869E+18,-0.105458118,0.014478682
1.78869E+18,-0.105522387,0.014414413
1.78869E+18,-0.105577417,0.014359383
1.78869E+18,-0.105591267,0.014345533
1.78869E+18,-0.105649807,0.014286993
1.78869E+18,-0.105690122,0.014246678
1.78869E+18,-0.105685361,0.014251439
1.78869E+18,-0.105591945,0.014344855
1.78869E+18,-0.105553903,0.014382897
1.78869E+18,-0.105639309,0.014297491
1.78869E+18,-0.105668642,0.014268158
1.78869E+18,-0.105781898,0.014154902
1.78869E+18,-0.105835654,0.014101146
1.78869E+18,-0.105887726,0.014049074
1.78869E+18,-0.105920419,0.014016381
1.78869E+18,-0.105955862,0.013980938
1.78869E+18,-0.105925635,0.014011165
1.78869E+18,-0.105901316,0.014035484
1.78869E+18,-0.105917536,0.014019264
1.78869E+18,-0.105937548,0.013999252
1.78869E+18,-0.105946675,0.013990125
1.78869E+18,-0.105823748,0.014113052
1.78869E+18,-0.105862059,0.014074741
1.78869E+18,-0.105923168,0.014013632
1.78869E+18,-0.105957597,0.013979203
1.78869E+18,-0.105978057,0.013958743
1.78869E+18,-0.106066942,0.013869858
1.78869E+18,-0.106064618,0.013872182
1.78869E+18,-0.106054321,0.013882479
1.78869E+18,-0.106022507,0.013914293
1.78869E+18,-0.105999291,0.013937509
1.78869E+18,-0.105954625,0.013982175
1.78869E+18,-0.105969153,0.013967647
1.78869E+18,-0.105963111,0.013973689
1.78869E+18,-0.10589008,0.01404672
1.78869E+18,-0.10590402,0.01403278
1.78869E+18,-0.105903089,0.014033711
1.78869E+18,-0.105882242,0.014054558
1.78869E+18,-0.105910696,0.014026104
1.78869E+18,-0.106006339,0.013930461
1.78869E+18,-0.106033854,0.013902946
1.78869E+18,-0.106142737,0.013794063
1.78869E+18,-0.106182903,0.013753897
1.78869E+18,-0.106224731,0.013712069
1.78869E+18,-0.106262498,0.013674302
1.78869E+18,-0.106380843,0.013555957
1.78869E+18,-0.106410481,0.013526319
1.78869E+18,-0.106439069,0.013497731
1.78869E+18,-0.106530383,0.013406417
1.78869E+18,-0.106621623,0.013315177
1.78869E+18,-0.106657714,0.013279086
1.78869E+18,-0.106692836,0.013243964
1.78869E+18,-0.106764182,0.013172618
1.78869E+18,-0.106772266,0.013164534
1.78869E+18,-0.106860079,0.013076721
1.78869E+18,-0.106903449,0.013033351
1.78869E+18,-0.106931105,0.013005695
1.78869E+18,-0.10707432,0.01286248
1.78869E+18,-0.10711921,0.01281759
1.78869E+18,-0.107125923,0.012810877
1.78869E+18,-0.107114032,0.012822768
1.78869E+18,-0.107100576,0.012836224
1.78869E+18,-0.107167967,0.012768833
1.78869E+18,-0.107159458,0.012777342
1.78869E+18,-0.107199378,0.012737422
1.78869E+18,-0.107245736,0.012691064
1.78869E+18,-0.107220262,0.012716538
1.78869E+18,-0.107203029,0.012733771
1.78869E+18,-0.107149094,0.012787706
1.78869E+18,-0.107166633,0.012770167
1.78869E+18,-0.10721115,0.01272565
1.78869E+18,-0.107256562,0.012680238
1.78869E+18,-0.107270263,0.012666537
1.78869E+18,-0.10733673,0.01260007
1.78869E+18,-0.107379533,0.012557267
1.78869E+18,-0.107417293,0.012519507
1.78869E+18,-0.107460372,0.012476428
1.78869E+18,-0.107484564,0.012452236
1.78869E+18,-0.107481658,0.012455142
1.78869E+18,-0.107484274,0.012452526
1.78869E+18,-0.107529111,0.012407689
1.78869E+18,-0.107618548,0.012318252
1.78869E+18,-0.107600465,0.012336335
1.78869E+18,-0.107594743,0.012342057
1.78869E+18,-0.107602417,0.012334383
1.78869E+18,-0.107564479,0.012372321
1.78869E+18,-0.1076217,0.0123151
1.78869E+18,-0.107671343,0.012265457
1.78869E+18,-0.107752681,0.012184119
1.78869E+18,-0.107810065,0.012126735
1.78869E+18,-0.107830524,0.012106276
1.78869E+18,-0.107949369,0.011987431
1.78869E+18,-0.108015366,0.011921434
